[INFO 2017-08-17 03:55:23,139 demo.py:184] Namespace(batch_size=64, bg_move=False, bg_noise=0.5, bidirection=False, data='nyuv2', diff_div_thresh=1.25, display=False, fg_noise=0.1, fixed_data=False, image_channel=1, image_size=64, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, method='unsupervised', min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=3, num_objects=1, save_dir='./', save_display=False, save_display_dir='./', seed=111, test=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-08-17 03:55:25,918 demo.py:72] epoch 0, train loss: 19218.33, average train loss: 19218.33, base loss: 6232.47
[INFO 2017-08-17 03:55:26,701 demo.py:72] epoch 1, train loss: 15475.41, average train loss: 17346.87, base loss: 6245.20
[INFO 2017-08-17 03:55:27,501 demo.py:72] epoch 2, train loss: 13856.56, average train loss: 16183.43, base loss: 6429.53
[INFO 2017-08-17 03:55:28,300 demo.py:72] epoch 3, train loss: 12065.01, average train loss: 15153.83, base loss: 6480.90
[INFO 2017-08-17 03:55:29,052 demo.py:72] epoch 4, train loss: 11177.73, average train loss: 14358.61, base loss: 6402.11
[INFO 2017-08-17 03:55:29,866 demo.py:72] epoch 5, train loss: 10807.49, average train loss: 13766.76, base loss: 6451.32
[INFO 2017-08-17 03:55:30,635 demo.py:72] epoch 6, train loss: 9303.81, average train loss: 13129.19, base loss: 6380.22
[INFO 2017-08-17 03:55:31,388 demo.py:72] epoch 7, train loss: 9242.18, average train loss: 12643.32, base loss: 6449.69
[INFO 2017-08-17 03:55:32,183 demo.py:72] epoch 8, train loss: 8345.79, average train loss: 12165.81, base loss: 6403.53
[INFO 2017-08-17 03:55:33,044 demo.py:72] epoch 9, train loss: 8080.42, average train loss: 11757.27, base loss: 6425.80
[INFO 2017-08-17 03:55:33,929 demo.py:72] epoch 10, train loss: 7482.30, average train loss: 11368.64, base loss: 6436.32
[INFO 2017-08-17 03:55:34,803 demo.py:72] epoch 11, train loss: 7398.99, average train loss: 11037.83, base loss: 6451.01
[INFO 2017-08-17 03:55:35,659 demo.py:72] epoch 12, train loss: 7933.60, average train loss: 10799.05, base loss: 6517.61
[INFO 2017-08-17 03:55:36,489 demo.py:72] epoch 13, train loss: 6529.33, average train loss: 10494.07, base loss: 6502.85
[INFO 2017-08-17 03:55:37,326 demo.py:72] epoch 14, train loss: 6108.31, average train loss: 10201.68, base loss: 6455.47
[INFO 2017-08-17 03:55:38,181 demo.py:72] epoch 15, train loss: 6130.09, average train loss: 9947.21, base loss: 6434.73
[INFO 2017-08-17 03:55:39,043 demo.py:72] epoch 16, train loss: 5881.82, average train loss: 9708.07, base loss: 6406.97
[INFO 2017-08-17 03:55:39,909 demo.py:72] epoch 17, train loss: 6063.42, average train loss: 9505.59, base loss: 6393.50
[INFO 2017-08-17 03:55:40,795 demo.py:72] epoch 18, train loss: 6121.49, average train loss: 9327.48, base loss: 6403.27
[INFO 2017-08-17 03:55:41,701 demo.py:72] epoch 19, train loss: 5785.51, average train loss: 9150.38, base loss: 6416.02
[INFO 2017-08-17 03:55:42,677 demo.py:72] epoch 20, train loss: 5913.32, average train loss: 8996.23, base loss: 6417.00
[INFO 2017-08-17 03:55:43,519 demo.py:72] epoch 21, train loss: 5260.78, average train loss: 8826.44, base loss: 6394.39
[INFO 2017-08-17 03:55:44,427 demo.py:72] epoch 22, train loss: 5313.84, average train loss: 8673.72, base loss: 6376.02
[INFO 2017-08-17 03:55:45,307 demo.py:72] epoch 23, train loss: 4988.38, average train loss: 8520.16, base loss: 6355.74
[INFO 2017-08-17 03:55:46,210 demo.py:72] epoch 24, train loss: 5384.18, average train loss: 8394.72, base loss: 6363.78
[INFO 2017-08-17 03:55:47,026 demo.py:72] epoch 25, train loss: 5243.08, average train loss: 8273.51, base loss: 6348.40
[INFO 2017-08-17 03:55:47,899 demo.py:72] epoch 26, train loss: 5146.10, average train loss: 8157.68, base loss: 6361.08
[INFO 2017-08-17 03:55:48,784 demo.py:72] epoch 27, train loss: 5460.39, average train loss: 8061.34, base loss: 6385.15
