[INFO 2017-08-17 07:59:48,882 demo.py:190] Namespace(batch_size=64, bg_move=True, bg_noise=0.5, bidirection=False, data='mnist', diff_div_thresh=1.25, display=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=32, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, method='unsupervised', min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=2, num_objects=1, save_dir='./', save_display=False, save_display_dir='./', seed=111, test=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-08-17 07:59:50,949 demo.py:74] epoch 0, train loss: 31720.43, average train loss: 31720.43, base loss: 38369.86
[INFO 2017-08-17 07:59:51,205 demo.py:74] epoch 1, train loss: 30037.60, average train loss: 30879.02, base loss: 39403.61
[INFO 2017-08-17 07:59:51,456 demo.py:74] epoch 2, train loss: 28124.90, average train loss: 29960.98, base loss: 39009.79
[INFO 2017-08-17 07:59:51,707 demo.py:74] epoch 3, train loss: 27094.20, average train loss: 29244.28, base loss: 38928.41
[INFO 2017-08-17 07:59:51,958 demo.py:74] epoch 4, train loss: 26368.12, average train loss: 28669.05, base loss: 38931.66
[INFO 2017-08-17 07:59:52,206 demo.py:74] epoch 5, train loss: 25997.53, average train loss: 28223.80, base loss: 39138.59
[INFO 2017-08-17 07:59:52,458 demo.py:74] epoch 6, train loss: 25498.53, average train loss: 27834.47, base loss: 39065.84
[INFO 2017-08-17 07:59:52,711 demo.py:74] epoch 7, train loss: 25129.40, average train loss: 27496.34, base loss: 38941.05
[INFO 2017-08-17 07:59:52,962 demo.py:74] epoch 8, train loss: 24746.01, average train loss: 27190.75, base loss: 38911.26
[INFO 2017-08-17 07:59:53,209 demo.py:74] epoch 9, train loss: 24283.90, average train loss: 26900.06, base loss: 39042.58
[INFO 2017-08-17 07:59:53,460 demo.py:74] epoch 10, train loss: 23823.34, average train loss: 26620.36, base loss: 39084.15
[INFO 2017-08-17 07:59:53,713 demo.py:74] epoch 11, train loss: 23556.29, average train loss: 26365.02, base loss: 39124.79
[INFO 2017-08-17 07:59:53,963 demo.py:74] epoch 12, train loss: 23103.91, average train loss: 26114.17, base loss: 39147.38
[INFO 2017-08-17 07:59:54,215 demo.py:74] epoch 13, train loss: 22850.87, average train loss: 25881.07, base loss: 39231.92
[INFO 2017-08-17 07:59:54,465 demo.py:74] epoch 14, train loss: 22183.73, average train loss: 25634.58, base loss: 39181.46
[INFO 2017-08-17 07:59:54,718 demo.py:74] epoch 15, train loss: 21890.35, average train loss: 25400.57, base loss: 39169.55
[INFO 2017-08-17 07:59:54,969 demo.py:74] epoch 16, train loss: 21815.30, average train loss: 25189.67, base loss: 39184.08
[INFO 2017-08-17 07:59:55,220 demo.py:74] epoch 17, train loss: 21467.31, average train loss: 24982.87, base loss: 39145.24
[INFO 2017-08-17 07:59:55,471 demo.py:74] epoch 18, train loss: 21094.44, average train loss: 24778.22, base loss: 39163.85
[INFO 2017-08-17 07:59:55,722 demo.py:74] epoch 19, train loss: 20927.68, average train loss: 24585.69, base loss: 39077.91
[INFO 2017-08-17 07:59:55,974 demo.py:74] epoch 20, train loss: 20601.74, average train loss: 24395.98, base loss: 39089.81
[INFO 2017-08-17 07:59:56,225 demo.py:74] epoch 21, train loss: 20445.61, average train loss: 24216.42, base loss: 39133.13
[INFO 2017-08-17 07:59:56,477 demo.py:74] epoch 22, train loss: 20202.53, average train loss: 24041.90, base loss: 39125.69
[INFO 2017-08-17 07:59:56,728 demo.py:74] epoch 23, train loss: 20100.23, average train loss: 23877.66, base loss: 39153.29
[INFO 2017-08-17 07:59:56,980 demo.py:74] epoch 24, train loss: 19994.01, average train loss: 23722.32, base loss: 39156.33
[INFO 2017-08-17 07:59:57,231 demo.py:74] epoch 25, train loss: 19708.15, average train loss: 23567.93, base loss: 39122.84
[INFO 2017-08-17 07:59:57,483 demo.py:74] epoch 26, train loss: 19555.49, average train loss: 23419.32, base loss: 39124.38
[INFO 2017-08-17 07:59:57,734 demo.py:74] epoch 27, train loss: 19646.81, average train loss: 23284.59, base loss: 39115.23
[INFO 2017-08-17 07:59:57,985 demo.py:74] epoch 28, train loss: 19489.38, average train loss: 23153.72, base loss: 39106.36
[INFO 2017-08-17 07:59:58,236 demo.py:74] epoch 29, train loss: 19186.75, average train loss: 23021.48, base loss: 39072.16
[INFO 2017-08-17 07:59:58,485 demo.py:74] epoch 30, train loss: 19160.29, average train loss: 22896.93, base loss: 39117.01
[INFO 2017-08-17 07:59:58,739 demo.py:74] epoch 31, train loss: 19009.96, average train loss: 22775.46, base loss: 39095.90
[INFO 2017-08-17 07:59:58,991 demo.py:74] epoch 32, train loss: 19072.63, average train loss: 22663.25, base loss: 39123.05
[INFO 2017-08-17 07:59:59,244 demo.py:74] epoch 33, train loss: 18744.30, average train loss: 22547.99, base loss: 39148.15
[INFO 2017-08-17 07:59:59,497 demo.py:74] epoch 34, train loss: 18783.23, average train loss: 22440.43, base loss: 39142.21
[INFO 2017-08-17 07:59:59,750 demo.py:74] epoch 35, train loss: 18762.65, average train loss: 22338.27, base loss: 39181.64
[INFO 2017-08-17 08:00:00,002 demo.py:74] epoch 36, train loss: 18669.65, average train loss: 22239.11, base loss: 39190.97
[INFO 2017-08-17 08:00:00,250 demo.py:74] epoch 37, train loss: 18696.29, average train loss: 22145.88, base loss: 39165.88
[INFO 2017-08-17 08:00:00,500 demo.py:74] epoch 38, train loss: 18567.46, average train loss: 22054.13, base loss: 39128.73
[INFO 2017-08-17 08:00:00,750 demo.py:74] epoch 39, train loss: 18574.96, average train loss: 21967.15, base loss: 39120.40
[INFO 2017-08-17 08:00:00,999 demo.py:74] epoch 40, train loss: 18352.74, average train loss: 21878.99, base loss: 39129.70
[INFO 2017-08-17 08:00:01,250 demo.py:74] epoch 41, train loss: 18388.29, average train loss: 21795.88, base loss: 39124.73
[INFO 2017-08-17 08:00:01,499 demo.py:74] epoch 42, train loss: 18449.56, average train loss: 21718.06, base loss: 39093.80
[INFO 2017-08-17 08:00:01,750 demo.py:74] epoch 43, train loss: 18197.92, average train loss: 21638.06, base loss: 39088.05
[INFO 2017-08-17 08:00:02,002 demo.py:74] epoch 44, train loss: 18305.24, average train loss: 21563.99, base loss: 39094.78
[INFO 2017-08-17 08:00:02,249 demo.py:74] epoch 45, train loss: 18226.13, average train loss: 21491.43, base loss: 39101.40
[INFO 2017-08-17 08:00:02,501 demo.py:74] epoch 46, train loss: 18173.48, average train loss: 21420.84, base loss: 39088.84
[INFO 2017-08-17 08:00:02,754 demo.py:74] epoch 47, train loss: 18251.97, average train loss: 21354.82, base loss: 39092.96
[INFO 2017-08-17 08:00:03,006 demo.py:74] epoch 48, train loss: 18296.35, average train loss: 21292.40, base loss: 39077.65
[INFO 2017-08-17 08:00:03,257 demo.py:74] epoch 49, train loss: 18222.66, average train loss: 21231.01, base loss: 39068.92
[INFO 2017-08-17 08:00:03,509 demo.py:74] epoch 50, train loss: 18084.34, average train loss: 21169.31, base loss: 39049.57
[INFO 2017-08-17 08:00:03,760 demo.py:74] epoch 51, train loss: 18158.83, average train loss: 21111.41, base loss: 39084.80
[INFO 2017-08-17 08:00:04,011 demo.py:74] epoch 52, train loss: 18084.21, average train loss: 21054.30, base loss: 39090.86
[INFO 2017-08-17 08:00:04,263 demo.py:74] epoch 53, train loss: 18114.15, average train loss: 20999.85, base loss: 39105.79
[INFO 2017-08-17 08:00:04,515 demo.py:74] epoch 54, train loss: 18198.22, average train loss: 20948.91, base loss: 39113.36
[INFO 2017-08-17 08:00:04,767 demo.py:74] epoch 55, train loss: 17977.74, average train loss: 20895.85, base loss: 39125.39
[INFO 2017-08-17 08:00:05,018 demo.py:74] epoch 56, train loss: 18013.21, average train loss: 20845.28, base loss: 39109.48
[INFO 2017-08-17 08:00:05,270 demo.py:74] epoch 57, train loss: 17903.79, average train loss: 20794.57, base loss: 39114.64
[INFO 2017-08-17 08:00:05,517 demo.py:74] epoch 58, train loss: 17943.37, average train loss: 20746.24, base loss: 39106.93
[INFO 2017-08-17 08:00:05,769 demo.py:74] epoch 59, train loss: 17792.72, average train loss: 20697.01, base loss: 39096.88
[INFO 2017-08-17 08:00:06,019 demo.py:74] epoch 60, train loss: 17800.82, average train loss: 20649.54, base loss: 39101.14
[INFO 2017-08-17 08:00:06,270 demo.py:74] epoch 61, train loss: 17997.63, average train loss: 20606.76, base loss: 39097.53
[INFO 2017-08-17 08:00:06,519 demo.py:74] epoch 62, train loss: 17916.52, average train loss: 20564.06, base loss: 39096.22
[INFO 2017-08-17 08:00:06,771 demo.py:74] epoch 63, train loss: 18003.58, average train loss: 20524.05, base loss: 39085.52
[INFO 2017-08-17 08:00:07,021 demo.py:74] epoch 64, train loss: 18053.58, average train loss: 20486.05, base loss: 39089.57
[INFO 2017-08-17 08:00:07,273 demo.py:74] epoch 65, train loss: 17804.13, average train loss: 20445.41, base loss: 39091.49
[INFO 2017-08-17 08:00:07,524 demo.py:74] epoch 66, train loss: 17772.48, average train loss: 20405.52, base loss: 39110.23
[INFO 2017-08-17 08:00:07,775 demo.py:74] epoch 67, train loss: 17971.75, average train loss: 20369.73, base loss: 39096.50
[INFO 2017-08-17 08:00:08,026 demo.py:74] epoch 68, train loss: 17882.76, average train loss: 20333.68, base loss: 39095.78
[INFO 2017-08-17 08:00:08,278 demo.py:74] epoch 69, train loss: 17820.15, average train loss: 20297.78, base loss: 39100.38
[INFO 2017-08-17 08:00:08,530 demo.py:74] epoch 70, train loss: 17835.58, average train loss: 20263.10, base loss: 39098.48
[INFO 2017-08-17 08:00:08,780 demo.py:74] epoch 71, train loss: 17843.70, average train loss: 20229.49, base loss: 39121.23
[INFO 2017-08-17 08:00:09,028 demo.py:74] epoch 72, train loss: 17836.97, average train loss: 20196.72, base loss: 39092.64
[INFO 2017-08-17 08:00:09,280 demo.py:74] epoch 73, train loss: 17677.74, average train loss: 20162.68, base loss: 39097.97
[INFO 2017-08-17 08:00:09,531 demo.py:74] epoch 74, train loss: 17664.27, average train loss: 20129.37, base loss: 39106.60
[INFO 2017-08-17 08:00:09,783 demo.py:74] epoch 75, train loss: 17629.90, average train loss: 20096.48, base loss: 39121.84
[INFO 2017-08-17 08:00:10,035 demo.py:74] epoch 76, train loss: 17542.60, average train loss: 20063.31, base loss: 39126.52
[INFO 2017-08-17 08:00:10,286 demo.py:74] epoch 77, train loss: 17642.52, average train loss: 20032.28, base loss: 39125.29
[INFO 2017-08-17 08:00:10,535 demo.py:74] epoch 78, train loss: 17711.54, average train loss: 20002.90, base loss: 39150.28
[INFO 2017-08-17 08:00:10,787 demo.py:74] epoch 79, train loss: 17623.22, average train loss: 19973.15, base loss: 39143.08
[INFO 2017-08-17 08:00:11,038 demo.py:74] epoch 80, train loss: 17558.35, average train loss: 19943.34, base loss: 39148.25
[INFO 2017-08-17 08:00:11,290 demo.py:74] epoch 81, train loss: 17631.86, average train loss: 19915.15, base loss: 39138.87
[INFO 2017-08-17 08:00:11,539 demo.py:74] epoch 82, train loss: 17675.47, average train loss: 19888.17, base loss: 39140.97
