[INFO 2017-08-17 09:47:58,206 demo.py:190] Namespace(batch_size=64, bg_move=False, bg_noise=0.5, bidirection=False, data='robot64', diff_div_thresh=1.25, display=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=64, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, method='unsupervised', min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=3, num_objects=1, save_dir='./', save_display=False, save_display_dir='./', seed=111, test=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-08-17 09:48:03,664 demo.py:74] epoch 0, train loss: 55944.46, average train loss: 55944.46, base loss: 12948.17
[INFO 2017-08-17 09:48:04,400 demo.py:74] epoch 1, train loss: 50556.12, average train loss: 53250.29, base loss: 13489.90
[INFO 2017-08-17 09:48:05,063 demo.py:74] epoch 2, train loss: 45439.90, average train loss: 50646.83, base loss: 13612.40
[INFO 2017-08-17 09:48:05,722 demo.py:74] epoch 3, train loss: 40452.14, average train loss: 48098.16, base loss: 13833.76
[INFO 2017-08-17 09:48:06,355 demo.py:74] epoch 4, train loss: 37185.21, average train loss: 45915.57, base loss: 13752.87
[INFO 2017-08-17 09:48:07,013 demo.py:74] epoch 5, train loss: 34278.01, average train loss: 43975.97, base loss: 13608.45
[INFO 2017-08-17 09:48:07,739 demo.py:74] epoch 6, train loss: 33505.33, average train loss: 42480.17, base loss: 13754.70
[INFO 2017-08-17 09:48:08,532 demo.py:74] epoch 7, train loss: 30941.70, average train loss: 41037.86, base loss: 13713.46
[INFO 2017-08-17 09:48:09,322 demo.py:74] epoch 8, train loss: 29506.16, average train loss: 39756.56, base loss: 13664.54
[INFO 2017-08-17 09:48:10,185 demo.py:74] epoch 9, train loss: 28705.82, average train loss: 38651.48, base loss: 13708.99
[INFO 2017-08-17 09:48:10,959 demo.py:74] epoch 10, train loss: 26609.10, average train loss: 37556.72, base loss: 13676.44
[INFO 2017-08-17 09:48:11,728 demo.py:74] epoch 11, train loss: 25324.97, average train loss: 36537.41, base loss: 13622.67
[INFO 2017-08-17 09:48:12,497 demo.py:74] epoch 12, train loss: 24078.79, average train loss: 35579.05, base loss: 13575.08
[INFO 2017-08-17 09:48:13,331 demo.py:74] epoch 13, train loss: 23491.61, average train loss: 34715.67, base loss: 13542.98
[INFO 2017-08-17 09:48:14,141 demo.py:74] epoch 14, train loss: 22496.85, average train loss: 33901.08, base loss: 13533.00
[INFO 2017-08-17 09:48:14,943 demo.py:74] epoch 15, train loss: 21248.15, average train loss: 33110.27, base loss: 13473.26
[INFO 2017-08-17 09:48:15,730 demo.py:74] epoch 16, train loss: 21663.52, average train loss: 32436.93, base loss: 13529.24
[INFO 2017-08-17 09:48:16,509 demo.py:74] epoch 17, train loss: 20755.47, average train loss: 31787.96, base loss: 13521.26
[INFO 2017-08-17 09:48:17,266 demo.py:74] epoch 18, train loss: 20087.21, average train loss: 31172.13, base loss: 13532.92
[INFO 2017-08-17 09:48:18,038 demo.py:74] epoch 19, train loss: 19398.64, average train loss: 30583.46, base loss: 13510.37
[INFO 2017-08-17 09:48:18,831 demo.py:74] epoch 20, train loss: 20093.42, average train loss: 30083.93, base loss: 13575.03
[INFO 2017-08-17 09:48:19,624 demo.py:74] epoch 21, train loss: 19098.50, average train loss: 29584.59, base loss: 13575.18
[INFO 2017-08-17 09:48:20,409 demo.py:74] epoch 22, train loss: 18219.31, average train loss: 29090.45, base loss: 13549.54
[INFO 2017-08-17 09:48:21,194 demo.py:74] epoch 23, train loss: 18799.70, average train loss: 28661.67, base loss: 13582.22
[INFO 2017-08-17 09:48:21,970 demo.py:74] epoch 24, train loss: 17652.36, average train loss: 28221.30, base loss: 13577.16
[INFO 2017-08-17 09:48:22,719 demo.py:74] epoch 25, train loss: 17727.51, average train loss: 27817.69, base loss: 13582.99
[INFO 2017-08-17 09:48:23,522 demo.py:74] epoch 26, train loss: 17864.31, average train loss: 27449.05, base loss: 13591.68
[INFO 2017-08-17 09:48:24,283 demo.py:74] epoch 27, train loss: 17050.74, average train loss: 27077.68, base loss: 13585.77
[INFO 2017-08-17 09:48:25,034 demo.py:74] epoch 28, train loss: 17047.06, average train loss: 26731.80, base loss: 13592.52
[INFO 2017-08-17 09:48:25,890 demo.py:74] epoch 29, train loss: 16334.77, average train loss: 26385.23, base loss: 13570.92
[INFO 2017-08-17 09:48:26,687 demo.py:74] epoch 30, train loss: 16892.86, average train loss: 26079.02, base loss: 13589.76
[INFO 2017-08-17 09:48:27,443 demo.py:74] epoch 31, train loss: 16178.16, average train loss: 25769.62, base loss: 13582.31
[INFO 2017-08-17 09:48:28,250 demo.py:74] epoch 32, train loss: 17551.18, average train loss: 25520.58, base loss: 13629.81
[INFO 2017-08-17 09:48:29,055 demo.py:74] epoch 33, train loss: 15484.63, average train loss: 25225.40, base loss: 13606.37
[INFO 2017-08-17 09:48:29,809 demo.py:74] epoch 34, train loss: 15556.51, average train loss: 24949.15, base loss: 13596.17
[INFO 2017-08-17 09:48:30,567 demo.py:74] epoch 35, train loss: 16759.17, average train loss: 24721.65, base loss: 13627.33
[INFO 2017-08-17 09:48:31,358 demo.py:74] epoch 36, train loss: 16061.38, average train loss: 24487.59, base loss: 13633.60
[INFO 2017-08-17 09:48:32,164 demo.py:74] epoch 37, train loss: 14971.53, average train loss: 24237.16, base loss: 13606.40
[INFO 2017-08-17 09:48:32,932 demo.py:74] epoch 38, train loss: 15467.90, average train loss: 24012.31, base loss: 13603.44
[INFO 2017-08-17 09:48:33,723 demo.py:74] epoch 39, train loss: 15982.65, average train loss: 23811.57, base loss: 13614.40
[INFO 2017-08-17 09:48:34,496 demo.py:74] epoch 40, train loss: 15323.24, average train loss: 23604.54, base loss: 13612.45
[INFO 2017-08-17 09:48:35,252 demo.py:74] epoch 41, train loss: 14787.05, average train loss: 23394.60, base loss: 13598.54
[INFO 2017-08-17 09:48:35,988 demo.py:74] epoch 42, train loss: 14677.71, average train loss: 23191.88, base loss: 13580.97
[INFO 2017-08-17 09:48:36,784 demo.py:74] epoch 43, train loss: 14260.77, average train loss: 22988.90, base loss: 13554.53
[INFO 2017-08-17 09:48:37,567 demo.py:74] epoch 44, train loss: 14372.85, average train loss: 22797.43, base loss: 13540.18
[INFO 2017-08-17 09:48:38,346 demo.py:74] epoch 45, train loss: 14685.45, average train loss: 22621.08, base loss: 13530.68
[INFO 2017-08-17 09:48:39,139 demo.py:74] epoch 46, train loss: 15151.15, average train loss: 22462.15, base loss: 13535.63
[INFO 2017-08-17 09:48:39,912 demo.py:74] epoch 47, train loss: 14709.17, average train loss: 22300.63, base loss: 13533.84
[INFO 2017-08-17 09:48:40,701 demo.py:74] epoch 48, train loss: 14051.98, average train loss: 22132.29, base loss: 13511.64
[INFO 2017-08-17 09:48:41,484 demo.py:74] epoch 49, train loss: 13497.41, average train loss: 21959.59, base loss: 13483.83
[INFO 2017-08-17 09:48:42,254 demo.py:74] epoch 50, train loss: 14674.50, average train loss: 21816.75, base loss: 13486.40
[INFO 2017-08-17 09:48:43,051 demo.py:74] epoch 51, train loss: 15086.79, average train loss: 21687.32, base loss: 13500.58
[INFO 2017-08-17 09:48:43,863 demo.py:74] epoch 52, train loss: 14526.21, average train loss: 21552.21, base loss: 13503.45
[INFO 2017-08-17 09:48:44,638 demo.py:74] epoch 53, train loss: 14290.58, average train loss: 21417.73, base loss: 13499.03
[INFO 2017-08-17 09:48:45,437 demo.py:74] epoch 54, train loss: 14079.82, average train loss: 21284.32, base loss: 13490.45
[INFO 2017-08-17 09:48:46,239 demo.py:74] epoch 55, train loss: 15417.16, average train loss: 21179.55, base loss: 13509.88
[INFO 2017-08-17 09:48:47,012 demo.py:74] epoch 56, train loss: 13757.06, average train loss: 21049.33, base loss: 13495.52
[INFO 2017-08-17 09:48:47,794 demo.py:74] epoch 57, train loss: 14446.74, average train loss: 20935.49, base loss: 13493.57
[INFO 2017-08-17 09:48:48,578 demo.py:74] epoch 58, train loss: 14420.24, average train loss: 20825.06, base loss: 13495.66
[INFO 2017-08-17 09:48:49,362 demo.py:74] epoch 59, train loss: 15019.46, average train loss: 20728.30, base loss: 13510.24
[INFO 2017-08-17 09:48:50,152 demo.py:74] epoch 60, train loss: 14264.05, average train loss: 20622.33, base loss: 13512.37
[INFO 2017-08-17 09:48:50,968 demo.py:74] epoch 61, train loss: 13650.08, average train loss: 20509.88, base loss: 13503.55
[INFO 2017-08-17 09:48:51,750 demo.py:74] epoch 62, train loss: 14733.05, average train loss: 20418.18, base loss: 13519.90
[INFO 2017-08-17 09:48:52,528 demo.py:74] epoch 63, train loss: 13431.78, average train loss: 20309.02, base loss: 13509.86
[INFO 2017-08-17 09:48:53,301 demo.py:74] epoch 64, train loss: 14226.28, average train loss: 20215.44, base loss: 13512.76
[INFO 2017-08-17 09:48:54,134 demo.py:74] epoch 65, train loss: 13247.68, average train loss: 20109.86, base loss: 13496.19
[INFO 2017-08-17 09:48:54,930 demo.py:74] epoch 66, train loss: 14363.16, average train loss: 20024.09, base loss: 13499.81
[INFO 2017-08-17 09:48:55,716 demo.py:74] epoch 67, train loss: 13380.75, average train loss: 19926.40, base loss: 13492.96
