[INFO 2017-08-17 13:57:06,873 demo.py:190] Namespace(batch_size=64, bg_move=False, bg_noise=0.5, bidirection=False, data='mpii64', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=64, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, method='unsupervised', min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=3, num_objects=1, save_dir='./', save_display=False, save_display_dir='./', seed=111, test=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-08-17 13:57:09,776 demo.py:74] epoch 0, train loss: 189243.70, average train loss: 189243.70, base loss: 22519.29
[INFO 2017-08-17 13:57:10,419 demo.py:74] epoch 1, train loss: 173484.42, average train loss: 181364.06, base loss: 23167.53
[INFO 2017-08-17 13:57:11,055 demo.py:74] epoch 2, train loss: 149660.03, average train loss: 170796.05, base loss: 22659.84
[INFO 2017-08-17 13:57:11,702 demo.py:74] epoch 3, train loss: 134243.50, average train loss: 161657.91, base loss: 22423.35
[INFO 2017-08-17 13:57:12,342 demo.py:74] epoch 4, train loss: 120849.07, average train loss: 153496.15, base loss: 21747.84
[INFO 2017-08-17 13:57:13,022 demo.py:74] epoch 5, train loss: 107177.15, average train loss: 145776.31, base loss: 21564.58
[INFO 2017-08-17 13:57:13,679 demo.py:74] epoch 6, train loss: 98776.08, average train loss: 139061.99, base loss: 21661.54
[INFO 2017-08-17 13:57:14,323 demo.py:74] epoch 7, train loss: 88295.30, average train loss: 132716.16, base loss: 21488.92
[INFO 2017-08-17 13:57:14,966 demo.py:74] epoch 8, train loss: 80181.61, average train loss: 126878.98, base loss: 21627.84
[INFO 2017-08-17 13:57:15,602 demo.py:74] epoch 9, train loss: 78381.12, average train loss: 122029.20, base loss: 21413.50
[INFO 2017-08-17 13:57:16,247 demo.py:74] epoch 10, train loss: 65899.95, average train loss: 116926.54, base loss: 21323.34
[INFO 2017-08-17 13:57:16,901 demo.py:74] epoch 11, train loss: 63152.87, average train loss: 112445.40, base loss: 21246.49
[INFO 2017-08-17 13:57:17,550 demo.py:74] epoch 12, train loss: 58014.62, average train loss: 108258.42, base loss: 21229.70
[INFO 2017-08-17 13:57:18,233 demo.py:74] epoch 13, train loss: 53045.14, average train loss: 104314.61, base loss: 21056.27
[INFO 2017-08-17 13:57:18,973 demo.py:74] epoch 14, train loss: 50781.57, average train loss: 100745.74, base loss: 21048.94
[INFO 2017-08-17 13:57:19,767 demo.py:74] epoch 15, train loss: 47559.41, average train loss: 97421.60, base loss: 21066.39
[INFO 2017-08-17 13:57:20,543 demo.py:74] epoch 16, train loss: 42769.53, average train loss: 94206.77, base loss: 21017.59
[INFO 2017-08-17 13:57:21,343 demo.py:74] epoch 17, train loss: 42401.12, average train loss: 91328.68, base loss: 21031.69
[INFO 2017-08-17 13:57:22,115 demo.py:74] epoch 18, train loss: 39997.67, average train loss: 88627.05, base loss: 20985.94
[INFO 2017-08-17 13:57:22,914 demo.py:74] epoch 19, train loss: 38014.55, average train loss: 86096.42, base loss: 20920.48
[INFO 2017-08-17 13:57:23,706 demo.py:74] epoch 20, train loss: 39118.61, average train loss: 83859.38, base loss: 21012.12
[INFO 2017-08-17 13:57:24,486 demo.py:74] epoch 21, train loss: 36302.23, average train loss: 81697.69, base loss: 21117.34
[INFO 2017-08-17 13:57:25,272 demo.py:74] epoch 22, train loss: 33103.09, average train loss: 79584.88, base loss: 21144.91
[INFO 2017-08-17 13:57:26,060 demo.py:74] epoch 23, train loss: 28826.36, average train loss: 77469.95, base loss: 20979.46
[INFO 2017-08-17 13:57:26,855 demo.py:74] epoch 24, train loss: 30614.17, average train loss: 75595.72, base loss: 21025.16
[INFO 2017-08-17 13:57:27,633 demo.py:74] epoch 25, train loss: 29996.45, average train loss: 73841.90, base loss: 21057.14
[INFO 2017-08-17 13:57:28,415 demo.py:74] epoch 26, train loss: 29304.45, average train loss: 72192.36, base loss: 21123.77
[INFO 2017-08-17 13:57:29,208 demo.py:74] epoch 27, train loss: 27035.01, average train loss: 70579.60, base loss: 21109.80
[INFO 2017-08-17 13:57:30,007 demo.py:74] epoch 28, train loss: 24787.35, average train loss: 69000.56, base loss: 21013.44
[INFO 2017-08-17 13:57:30,796 demo.py:74] epoch 29, train loss: 27081.18, average train loss: 67603.24, base loss: 21079.79
[INFO 2017-08-17 13:57:31,571 demo.py:74] epoch 30, train loss: 24685.51, average train loss: 66218.80, base loss: 21026.15
