[INFO 2017-08-17 23:07:59,514 demo.py:217] Namespace(batch_size=64, bg_move=False, bg_noise=0.5, bidirection=False, data='robot64', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=64, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, method='unsupervised', min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=3, num_objects=1, save_dir='./', save_display=False, save_display_dir='./', seed=111, test=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-08-17 23:08:05,456 demo.py:74] epoch 0, train loss: 56581.87, average train loss: 56581.87, base loss: 13458.83
[INFO 2017-08-17 23:08:06,524 demo.py:74] epoch 1, train loss: 50203.57, average train loss: 53392.72, base loss: 14140.01
[INFO 2017-08-17 23:08:07,598 demo.py:74] epoch 2, train loss: 45216.92, average train loss: 50667.45, base loss: 14117.96
[INFO 2017-08-17 23:08:08,682 demo.py:74] epoch 3, train loss: 40983.25, average train loss: 48246.40, base loss: 13827.69
[INFO 2017-08-17 23:08:09,810 demo.py:74] epoch 4, train loss: 38820.99, average train loss: 46361.32, base loss: 13732.92
[INFO 2017-08-17 23:08:11,107 demo.py:74] epoch 5, train loss: 35762.78, average train loss: 44594.90, base loss: 13659.36
[INFO 2017-08-17 23:08:12,438 demo.py:74] epoch 6, train loss: 33679.54, average train loss: 43035.56, base loss: 13582.73
[INFO 2017-08-17 23:08:13,762 demo.py:74] epoch 7, train loss: 32164.74, average train loss: 41676.71, base loss: 13656.07
[INFO 2017-08-17 23:08:15,092 demo.py:74] epoch 8, train loss: 30441.58, average train loss: 40428.36, base loss: 13795.51
[INFO 2017-08-17 23:08:16,398 demo.py:74] epoch 9, train loss: 28163.39, average train loss: 39201.86, base loss: 13810.56
[INFO 2017-08-17 23:08:17,715 demo.py:74] epoch 10, train loss: 26714.13, average train loss: 38066.61, base loss: 13735.21
[INFO 2017-08-17 23:08:19,015 demo.py:74] epoch 11, train loss: 25621.83, average train loss: 37029.55, base loss: 13692.96
[INFO 2017-08-17 23:08:20,355 demo.py:74] epoch 12, train loss: 24622.73, average train loss: 36075.18, base loss: 13721.64
[INFO 2017-08-17 23:08:21,676 demo.py:74] epoch 13, train loss: 22494.56, average train loss: 35105.13, base loss: 13611.07
[INFO 2017-08-17 23:08:22,980 demo.py:74] epoch 14, train loss: 21552.93, average train loss: 34201.65, base loss: 13518.70
[INFO 2017-08-17 23:08:24,322 demo.py:74] epoch 15, train loss: 20714.12, average train loss: 33358.68, base loss: 13474.72
[INFO 2017-08-17 23:08:25,624 demo.py:74] epoch 16, train loss: 20682.91, average train loss: 32613.05, base loss: 13509.86
[INFO 2017-08-17 23:08:26,976 demo.py:74] epoch 17, train loss: 19752.45, average train loss: 31898.57, base loss: 13487.41
[INFO 2017-08-17 23:08:28,289 demo.py:74] epoch 18, train loss: 18098.59, average train loss: 31172.26, base loss: 13445.74
[INFO 2017-08-17 23:08:29,598 demo.py:74] epoch 19, train loss: 17973.02, average train loss: 30512.30, base loss: 13434.70
[INFO 2017-08-17 23:08:30,878 demo.py:74] epoch 20, train loss: 17948.23, average train loss: 29914.01, base loss: 13459.64
[INFO 2017-08-17 23:08:32,195 demo.py:74] epoch 21, train loss: 16496.22, average train loss: 29304.11, base loss: 13432.39
[INFO 2017-08-17 23:08:33,513 demo.py:74] epoch 22, train loss: 16046.34, average train loss: 28727.68, base loss: 13412.74
[INFO 2017-08-17 23:08:34,840 demo.py:74] epoch 23, train loss: 15042.35, average train loss: 28157.46, base loss: 13366.11
[INFO 2017-08-17 23:08:36,162 demo.py:74] epoch 24, train loss: 15563.54, average train loss: 27653.70, base loss: 13366.90
[INFO 2017-08-17 23:08:37,435 demo.py:74] epoch 25, train loss: 14462.39, average train loss: 27146.35, base loss: 13337.33
[INFO 2017-08-17 23:08:38,744 demo.py:74] epoch 26, train loss: 14909.44, average train loss: 26693.13, base loss: 13348.03
[INFO 2017-08-17 23:08:40,077 demo.py:74] epoch 27, train loss: 14684.90, average train loss: 26264.26, base loss: 13363.83
[INFO 2017-08-17 23:08:41,358 demo.py:74] epoch 28, train loss: 13775.67, average train loss: 25833.62, base loss: 13349.51
[INFO 2017-08-17 23:08:42,663 demo.py:74] epoch 29, train loss: 14032.59, average train loss: 25440.25, base loss: 13360.88
[INFO 2017-08-17 23:08:43,970 demo.py:74] epoch 30, train loss: 13647.55, average train loss: 25059.84, base loss: 13373.01
[INFO 2017-08-17 23:08:45,296 demo.py:74] epoch 31, train loss: 13092.63, average train loss: 24685.87, base loss: 13368.72
[INFO 2017-08-17 23:08:46,628 demo.py:74] epoch 32, train loss: 13219.51, average train loss: 24338.40, base loss: 13372.02
[INFO 2017-08-17 23:08:47,909 demo.py:74] epoch 33, train loss: 13458.06, average train loss: 24018.39, base loss: 13397.94
[INFO 2017-08-17 23:08:49,218 demo.py:74] epoch 34, train loss: 12920.32, average train loss: 23701.30, base loss: 13402.76
[INFO 2017-08-17 23:08:50,499 demo.py:74] epoch 35, train loss: 12061.72, average train loss: 23377.98, base loss: 13385.01
[INFO 2017-08-17 23:08:51,796 demo.py:74] epoch 36, train loss: 12909.64, average train loss: 23095.05, base loss: 13391.95
[INFO 2017-08-17 23:08:53,133 demo.py:74] epoch 37, train loss: 12328.89, average train loss: 22811.73, base loss: 13381.41
[INFO 2017-08-17 23:08:54,473 demo.py:74] epoch 38, train loss: 11860.58, average train loss: 22530.94, base loss: 13362.46
[INFO 2017-08-17 23:08:55,813 demo.py:74] epoch 39, train loss: 12315.64, average train loss: 22275.55, base loss: 13362.53
[INFO 2017-08-17 23:08:57,136 demo.py:74] epoch 40, train loss: 12806.14, average train loss: 22044.59, base loss: 13375.70
[INFO 2017-08-17 23:08:58,419 demo.py:74] epoch 41, train loss: 11321.44, average train loss: 21789.28, base loss: 13348.55
[INFO 2017-08-17 23:08:59,730 demo.py:74] epoch 42, train loss: 12016.93, average train loss: 21562.02, base loss: 13343.36
[INFO 2017-08-17 23:09:01,028 demo.py:74] epoch 43, train loss: 12365.69, average train loss: 21353.01, base loss: 13350.16
[INFO 2017-08-17 23:09:02,312 demo.py:74] epoch 44, train loss: 13033.10, average train loss: 21168.12, base loss: 13380.56
[INFO 2017-08-17 23:09:03,630 demo.py:74] epoch 45, train loss: 11673.86, average train loss: 20961.72, base loss: 13373.16
[INFO 2017-08-17 23:09:04,961 demo.py:74] epoch 46, train loss: 11913.36, average train loss: 20769.21, base loss: 13365.69
[INFO 2017-08-17 23:09:06,276 demo.py:74] epoch 47, train loss: 13036.94, average train loss: 20608.12, base loss: 13391.26
[INFO 2017-08-17 23:09:07,598 demo.py:74] epoch 48, train loss: 11949.27, average train loss: 20431.41, base loss: 13388.30
[INFO 2017-08-17 23:09:08,933 demo.py:74] epoch 49, train loss: 11961.27, average train loss: 20262.00, base loss: 13388.60
[INFO 2017-08-17 23:09:10,217 demo.py:74] epoch 50, train loss: 12940.65, average train loss: 20118.45, base loss: 13412.58
[INFO 2017-08-17 23:09:11,500 demo.py:74] epoch 51, train loss: 11748.31, average train loss: 19957.48, base loss: 13407.99
[INFO 2017-08-17 23:09:12,781 demo.py:74] epoch 52, train loss: 11323.18, average train loss: 19794.57, base loss: 13390.99
[INFO 2017-08-17 23:09:14,073 demo.py:74] epoch 53, train loss: 12297.53, average train loss: 19655.74, base loss: 13401.43
[INFO 2017-08-17 23:09:15,388 demo.py:74] epoch 54, train loss: 11910.16, average train loss: 19514.91, base loss: 13405.86
[INFO 2017-08-17 23:09:16,704 demo.py:74] epoch 55, train loss: 11274.22, average train loss: 19367.75, base loss: 13398.10
[INFO 2017-08-17 23:09:17,988 demo.py:74] epoch 56, train loss: 12154.75, average train loss: 19241.21, base loss: 13406.39
[INFO 2017-08-17 23:09:19,268 demo.py:74] epoch 57, train loss: 12059.31, average train loss: 19117.38, base loss: 13414.20
[INFO 2017-08-17 23:09:20,591 demo.py:74] epoch 58, train loss: 10941.29, average train loss: 18978.81, base loss: 13394.40
[INFO 2017-08-17 23:09:21,916 demo.py:74] epoch 59, train loss: 12024.99, average train loss: 18862.91, base loss: 13400.56
[INFO 2017-08-17 23:09:23,240 demo.py:74] epoch 60, train loss: 12030.02, average train loss: 18750.89, base loss: 13404.98
[INFO 2017-08-17 23:09:24,538 demo.py:74] epoch 61, train loss: 11452.92, average train loss: 18633.19, base loss: 13396.85
[INFO 2017-08-17 23:09:25,841 demo.py:74] epoch 62, train loss: 12496.36, average train loss: 18535.78, base loss: 13410.41
[INFO 2017-08-17 23:09:27,149 demo.py:74] epoch 63, train loss: 11843.48, average train loss: 18431.21, base loss: 13414.86
[INFO 2017-08-17 23:09:28,512 demo.py:74] epoch 64, train loss: 11570.90, average train loss: 18325.66, base loss: 13407.37
[INFO 2017-08-17 23:09:29,823 demo.py:74] epoch 65, train loss: 12171.07, average train loss: 18232.41, base loss: 13411.79
