[INFO 2017-09-29 18:25:23,788 demo.py:213] Namespace(batch_size=64, bg_move=False, bg_noise=0.5, bidirection=False, data='nyuv2', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=64, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, method='unsupervised', min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=3, num_objects=1, save_dir='./', save_display=False, save_display_dir='./', seed=111, test=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-09-29 18:25:27,265 demo.py:73] epoch 0, train loss: 58637.12, average train loss: 58637.12, base loss: 20211.23
[INFO 2017-09-29 18:25:28,841 demo.py:73] epoch 1, train loss: 52542.40, average train loss: 55589.76, base loss: 19641.48
[INFO 2017-09-29 18:25:30,411 demo.py:73] epoch 2, train loss: 45583.62, average train loss: 52254.38, base loss: 19370.80
[INFO 2017-09-29 18:25:31,852 demo.py:73] epoch 3, train loss: 44239.27, average train loss: 50250.60, base loss: 19143.32
[INFO 2017-09-29 18:25:33,288 demo.py:73] epoch 4, train loss: 44224.12, average train loss: 49045.31, base loss: 19180.24
[INFO 2017-09-29 18:25:34,711 demo.py:73] epoch 5, train loss: 38338.27, average train loss: 47260.80, base loss: 19201.34
[INFO 2017-09-29 18:25:36,133 demo.py:73] epoch 6, train loss: 36947.34, average train loss: 45787.45, base loss: 19406.85
[INFO 2017-09-29 18:25:37,562 demo.py:73] epoch 7, train loss: 36863.20, average train loss: 44671.92, base loss: 19792.09
[INFO 2017-09-29 18:25:39,011 demo.py:73] epoch 8, train loss: 32837.05, average train loss: 43356.93, base loss: 19789.96
[INFO 2017-09-29 18:25:40,443 demo.py:73] epoch 9, train loss: 28398.92, average train loss: 41861.13, base loss: 19588.80
[INFO 2017-09-29 18:25:41,842 demo.py:73] epoch 10, train loss: 29032.31, average train loss: 40694.87, base loss: 19590.08
[INFO 2017-09-29 18:25:43,266 demo.py:73] epoch 11, train loss: 28611.59, average train loss: 39687.93, base loss: 19644.76
[INFO 2017-09-29 18:25:44,709 demo.py:73] epoch 12, train loss: 28811.77, average train loss: 38851.31, base loss: 19789.32
[INFO 2017-09-29 18:25:46,153 demo.py:73] epoch 13, train loss: 25732.29, average train loss: 37914.23, base loss: 19734.65
[INFO 2017-09-29 18:25:47,572 demo.py:73] epoch 14, train loss: 23535.18, average train loss: 36955.63, base loss: 19588.54
[INFO 2017-09-29 18:25:48,983 demo.py:73] epoch 15, train loss: 25065.60, average train loss: 36212.50, base loss: 19671.50
[INFO 2017-09-29 18:25:50,412 demo.py:73] epoch 16, train loss: 23973.67, average train loss: 35492.57, base loss: 19729.70
[INFO 2017-09-29 18:25:51,804 demo.py:73] epoch 17, train loss: 23379.78, average train loss: 34819.64, base loss: 19782.28
[INFO 2017-09-29 18:25:53,210 demo.py:73] epoch 18, train loss: 22110.72, average train loss: 34150.75, base loss: 19807.18
[INFO 2017-09-29 18:25:54,634 demo.py:73] epoch 19, train loss: 22034.26, average train loss: 33544.92, base loss: 19831.40
[INFO 2017-09-29 18:25:56,047 demo.py:73] epoch 20, train loss: 20139.63, average train loss: 32906.58, base loss: 19779.61
[INFO 2017-09-29 18:25:57,451 demo.py:73] epoch 21, train loss: 18749.41, average train loss: 32263.07, base loss: 19651.58
[INFO 2017-09-29 18:25:58,921 demo.py:73] epoch 22, train loss: 20583.67, average train loss: 31755.27, base loss: 19693.30
[INFO 2017-09-29 18:26:00,363 demo.py:73] epoch 23, train loss: 20090.96, average train loss: 31269.26, base loss: 19701.54
[INFO 2017-09-29 18:26:01,772 demo.py:73] epoch 24, train loss: 19728.86, average train loss: 30807.64, base loss: 19738.73
[INFO 2017-09-29 18:26:03,173 demo.py:73] epoch 25, train loss: 19341.56, average train loss: 30366.64, base loss: 19769.88
[INFO 2017-09-29 18:26:04,617 demo.py:73] epoch 26, train loss: 19748.04, average train loss: 29973.36, base loss: 19812.14
[INFO 2017-09-29 18:26:06,032 demo.py:73] epoch 27, train loss: 16130.73, average train loss: 29478.98, base loss: 19724.29
[INFO 2017-09-29 18:26:07,457 demo.py:73] epoch 28, train loss: 18414.96, average train loss: 29097.46, base loss: 19764.24
[INFO 2017-09-29 18:26:08,893 demo.py:73] epoch 29, train loss: 17547.19, average train loss: 28712.45, base loss: 19763.17
[INFO 2017-09-29 18:26:10,318 demo.py:73] epoch 30, train loss: 15845.64, average train loss: 28297.39, base loss: 19697.25
[INFO 2017-09-29 18:26:11,741 demo.py:73] epoch 31, train loss: 15362.71, average train loss: 27893.18, base loss: 19614.69
[INFO 2017-09-29 18:26:13,235 demo.py:73] epoch 32, train loss: 16984.28, average train loss: 27562.61, base loss: 19616.07
[INFO 2017-09-29 18:26:14,632 demo.py:73] epoch 33, train loss: 17479.96, average train loss: 27266.06, base loss: 19625.50
[INFO 2017-09-29 18:26:16,089 demo.py:73] epoch 34, train loss: 17081.08, average train loss: 26975.06, base loss: 19624.40
[INFO 2017-09-29 18:26:17,562 demo.py:73] epoch 35, train loss: 14982.15, average train loss: 26641.92, base loss: 19569.80
[INFO 2017-09-29 18:26:19,152 demo.py:73] epoch 36, train loss: 16084.06, average train loss: 26356.58, base loss: 19578.20
[INFO 2017-09-29 18:26:20,816 demo.py:73] epoch 37, train loss: 14718.99, average train loss: 26050.32, base loss: 19536.91
[INFO 2017-09-29 18:26:22,494 demo.py:73] epoch 38, train loss: 14820.96, average train loss: 25762.39, base loss: 19506.98
[INFO 2017-09-29 18:26:24,162 demo.py:73] epoch 39, train loss: 15785.17, average train loss: 25512.96, base loss: 19506.95
[INFO 2017-09-29 18:26:25,817 demo.py:73] epoch 40, train loss: 14914.48, average train loss: 25254.46, base loss: 19474.54
[INFO 2017-09-29 18:26:27,549 demo.py:73] epoch 41, train loss: 14628.98, average train loss: 25001.47, base loss: 19443.14
[INFO 2017-09-29 18:26:29,244 demo.py:73] epoch 42, train loss: 14878.36, average train loss: 24766.05, base loss: 19429.57
[INFO 2017-09-29 18:26:30,918 demo.py:73] epoch 43, train loss: 14355.44, average train loss: 24529.45, base loss: 19403.30
[INFO 2017-09-29 18:26:32,607 demo.py:73] epoch 44, train loss: 14847.21, average train loss: 24314.29, base loss: 19381.79
[INFO 2017-09-29 18:26:34,304 demo.py:73] epoch 45, train loss: 15341.23, average train loss: 24119.22, base loss: 19391.45
[INFO 2017-09-29 18:26:35,966 demo.py:73] epoch 46, train loss: 14513.63, average train loss: 23914.85, base loss: 19378.84
[INFO 2017-09-29 18:26:37,630 demo.py:73] epoch 47, train loss: 14644.79, average train loss: 23721.72, base loss: 19364.20
[INFO 2017-09-29 18:26:39,277 demo.py:73] epoch 48, train loss: 14931.29, average train loss: 23542.32, base loss: 19370.15
[INFO 2017-09-29 18:26:40,928 demo.py:73] epoch 49, train loss: 15272.43, average train loss: 23376.93, base loss: 19394.13
[INFO 2017-09-29 18:26:42,611 demo.py:73] epoch 50, train loss: 14395.36, average train loss: 23200.82, base loss: 19337.27
[INFO 2017-09-29 18:26:44,272 demo.py:73] epoch 51, train loss: 15018.16, average train loss: 23043.46, base loss: 19343.20
[INFO 2017-09-29 18:26:45,920 demo.py:73] epoch 52, train loss: 15354.53, average train loss: 22898.38, base loss: 19378.97
[INFO 2017-09-29 18:26:47,597 demo.py:73] epoch 53, train loss: 14357.56, average train loss: 22740.22, base loss: 19383.79
[INFO 2017-09-29 18:26:49,260 demo.py:73] epoch 54, train loss: 15153.99, average train loss: 22602.29, base loss: 19397.92
[INFO 2017-09-29 18:26:50,927 demo.py:73] epoch 55, train loss: 14908.71, average train loss: 22464.90, base loss: 19403.39
[INFO 2017-09-29 18:26:52,603 demo.py:73] epoch 56, train loss: 14010.12, average train loss: 22316.57, base loss: 19397.52
[INFO 2017-09-29 18:26:54,244 demo.py:73] epoch 57, train loss: 13976.37, average train loss: 22172.78, base loss: 19399.28
[INFO 2017-09-29 18:26:55,935 demo.py:73] epoch 58, train loss: 14981.06, average train loss: 22050.88, base loss: 19417.13
[INFO 2017-09-29 18:26:57,618 demo.py:73] epoch 59, train loss: 15307.50, average train loss: 21938.49, base loss: 19425.70
[INFO 2017-09-29 18:26:59,267 demo.py:73] epoch 60, train loss: 14715.05, average train loss: 21820.08, base loss: 19422.72
[INFO 2017-09-29 18:27:00,931 demo.py:73] epoch 61, train loss: 14377.93, average train loss: 21700.04, base loss: 19417.07
[INFO 2017-09-29 18:27:02,641 demo.py:73] epoch 62, train loss: 14033.65, average train loss: 21578.35, base loss: 19417.69
[INFO 2017-09-29 18:27:04,288 demo.py:73] epoch 63, train loss: 14093.37, average train loss: 21461.40, base loss: 19398.55
[INFO 2017-09-29 18:27:05,986 demo.py:73] epoch 64, train loss: 13841.94, average train loss: 21344.18, base loss: 19385.23
[INFO 2017-09-29 18:27:07,680 demo.py:73] epoch 65, train loss: 14764.78, average train loss: 21244.49, base loss: 19397.99
[INFO 2017-09-29 18:27:09,324 demo.py:73] epoch 66, train loss: 15335.68, average train loss: 21156.30, base loss: 19415.19
[INFO 2017-09-29 18:27:11,003 demo.py:73] epoch 67, train loss: 13784.06, average train loss: 21047.88, base loss: 19404.63
[INFO 2017-09-29 18:27:12,661 demo.py:73] epoch 68, train loss: 14774.68, average train loss: 20956.97, base loss: 19425.26
[INFO 2017-09-29 18:27:14,337 demo.py:73] epoch 69, train loss: 14141.67, average train loss: 20859.61, base loss: 19418.15
[INFO 2017-09-29 18:27:16,029 demo.py:73] epoch 70, train loss: 15047.74, average train loss: 20777.75, base loss: 19445.36
[INFO 2017-09-29 18:27:17,685 demo.py:73] epoch 71, train loss: 14081.00, average train loss: 20684.74, base loss: 19440.85
[INFO 2017-09-29 18:27:19,363 demo.py:73] epoch 72, train loss: 14511.31, average train loss: 20600.17, base loss: 19429.19
[INFO 2017-09-29 18:27:20,990 demo.py:73] epoch 73, train loss: 14659.78, average train loss: 20519.90, base loss: 19443.83
[INFO 2017-09-29 18:27:22,647 demo.py:73] epoch 74, train loss: 13166.01, average train loss: 20421.84, base loss: 19417.68
[INFO 2017-09-29 18:27:24,294 demo.py:73] epoch 75, train loss: 14342.14, average train loss: 20341.85, base loss: 19436.51
[INFO 2017-09-29 18:27:25,995 demo.py:73] epoch 76, train loss: 14484.26, average train loss: 20265.78, base loss: 19430.08
[INFO 2017-09-29 18:27:27,691 demo.py:73] epoch 77, train loss: 14766.92, average train loss: 20195.28, base loss: 19432.60
[INFO 2017-09-29 18:27:29,370 demo.py:73] epoch 78, train loss: 14980.29, average train loss: 20129.27, base loss: 19452.80
[INFO 2017-09-29 18:27:31,022 demo.py:73] epoch 79, train loss: 13779.76, average train loss: 20049.90, base loss: 19454.28
[INFO 2017-09-29 18:27:32,743 demo.py:73] epoch 80, train loss: 14586.69, average train loss: 19982.45, base loss: 19440.06
[INFO 2017-09-29 18:27:34,389 demo.py:73] epoch 81, train loss: 14708.73, average train loss: 19918.14, base loss: 19444.30
[INFO 2017-09-29 18:27:36,112 demo.py:73] epoch 82, train loss: 15044.11, average train loss: 19859.41, base loss: 19460.15
[INFO 2017-09-29 18:27:37,758 demo.py:73] epoch 83, train loss: 13982.85, average train loss: 19789.45, base loss: 19455.13
[INFO 2017-09-29 18:27:39,444 demo.py:73] epoch 84, train loss: 15613.39, average train loss: 19740.32, base loss: 19487.62
[INFO 2017-09-29 18:27:41,099 demo.py:73] epoch 85, train loss: 13844.41, average train loss: 19671.77, base loss: 19485.57
[INFO 2017-09-29 18:27:42,768 demo.py:73] epoch 86, train loss: 14150.66, average train loss: 19608.31, base loss: 19488.45
[INFO 2017-09-29 18:27:44,493 demo.py:73] epoch 87, train loss: 14362.20, average train loss: 19548.69, base loss: 19488.47
[INFO 2017-09-29 18:27:46,175 demo.py:73] epoch 88, train loss: 13987.87, average train loss: 19486.21, base loss: 19499.12
[INFO 2017-09-29 18:27:47,867 demo.py:73] epoch 89, train loss: 15275.71, average train loss: 19439.43, base loss: 19518.51
[INFO 2017-09-29 18:27:49,537 demo.py:73] epoch 90, train loss: 15271.44, average train loss: 19393.62, base loss: 19538.42
[INFO 2017-09-29 18:27:51,208 demo.py:73] epoch 91, train loss: 14459.56, average train loss: 19339.99, base loss: 19538.82
[INFO 2017-09-29 18:27:52,839 demo.py:73] epoch 92, train loss: 14331.82, average train loss: 19286.14, base loss: 19542.71
[INFO 2017-09-29 18:27:54,490 demo.py:73] epoch 93, train loss: 13371.33, average train loss: 19223.22, base loss: 19538.65
[INFO 2017-09-29 18:27:56,166 demo.py:73] epoch 94, train loss: 15098.65, average train loss: 19179.80, base loss: 19540.32
[INFO 2017-09-29 18:27:57,842 demo.py:73] epoch 95, train loss: 14544.98, average train loss: 19131.52, base loss: 19548.62
[INFO 2017-09-29 18:27:59,484 demo.py:73] epoch 96, train loss: 13683.63, average train loss: 19075.36, base loss: 19545.26
[INFO 2017-09-29 18:28:01,168 demo.py:73] epoch 97, train loss: 13416.94, average train loss: 19017.62, base loss: 19547.85
[INFO 2017-09-29 18:28:02,855 demo.py:73] epoch 98, train loss: 13167.44, average train loss: 18958.53, base loss: 19514.73
[INFO 2017-09-29 18:28:04,514 demo.py:73] epoch 99, train loss: 14092.37, average train loss: 18909.86, base loss: 19528.02
[INFO 2017-09-29 18:28:06,175 demo.py:73] epoch 100, train loss: 13539.24, average train loss: 18458.89, base loss: 19516.00
[INFO 2017-09-29 18:28:07,851 demo.py:73] epoch 101, train loss: 13190.16, average train loss: 18065.36, base loss: 19511.78
[INFO 2017-09-29 18:28:09,624 demo.py:73] epoch 102, train loss: 14592.18, average train loss: 17755.45, base loss: 19520.48
[INFO 2017-09-29 18:28:11,270 demo.py:73] epoch 103, train loss: 14533.19, average train loss: 17458.39, base loss: 19529.97
[INFO 2017-09-29 18:28:12,944 demo.py:73] epoch 104, train loss: 14666.47, average train loss: 17162.81, base loss: 19529.18
[INFO 2017-09-29 18:28:14,580 demo.py:73] epoch 105, train loss: 14773.11, average train loss: 16927.16, base loss: 19542.57
[INFO 2017-09-29 18:28:16,277 demo.py:73] epoch 106, train loss: 13988.42, average train loss: 16697.57, base loss: 19532.19
[INFO 2017-09-29 18:28:18,007 demo.py:73] epoch 107, train loss: 13581.32, average train loss: 16464.75, base loss: 19497.14
[INFO 2017-09-29 18:28:19,721 demo.py:73] epoch 108, train loss: 15133.81, average train loss: 16287.72, base loss: 19506.05
[INFO 2017-09-29 18:28:21,391 demo.py:73] epoch 109, train loss: 13493.83, average train loss: 16138.67, base loss: 19522.50
[INFO 2017-09-29 18:28:23,034 demo.py:73] epoch 110, train loss: 14391.02, average train loss: 15992.26, base loss: 19526.25
[INFO 2017-09-29 18:28:24,692 demo.py:73] epoch 111, train loss: 13809.75, average train loss: 15844.24, base loss: 19512.65
[INFO 2017-09-29 18:28:26,356 demo.py:73] epoch 112, train loss: 13349.96, average train loss: 15689.62, base loss: 19486.62
[INFO 2017-09-29 18:28:28,015 demo.py:73] epoch 113, train loss: 13887.84, average train loss: 15571.18, base loss: 19485.56
[INFO 2017-09-29 18:28:29,697 demo.py:73] epoch 114, train loss: 13281.67, average train loss: 15468.64, base loss: 19494.87
[INFO 2017-09-29 18:28:31,327 demo.py:73] epoch 115, train loss: 13538.01, average train loss: 15353.36, base loss: 19467.88
[INFO 2017-09-29 18:28:33,007 demo.py:73] epoch 116, train loss: 13571.40, average train loss: 15249.34, base loss: 19451.60
[INFO 2017-09-29 18:28:34,695 demo.py:73] epoch 117, train loss: 14675.39, average train loss: 15162.30, base loss: 19451.05
[INFO 2017-09-29 18:28:36,342 demo.py:73] epoch 118, train loss: 14169.98, average train loss: 15082.89, base loss: 19439.88
[INFO 2017-09-29 18:28:38,017 demo.py:73] epoch 119, train loss: 13700.48, average train loss: 14999.55, base loss: 19419.88
[INFO 2017-09-29 18:28:39,668 demo.py:73] epoch 120, train loss: 13243.01, average train loss: 14930.59, base loss: 19417.28
[INFO 2017-09-29 18:28:41,319 demo.py:73] epoch 121, train loss: 13694.81, average train loss: 14880.04, base loss: 19446.67
[INFO 2017-09-29 18:28:42,976 demo.py:73] epoch 122, train loss: 14442.35, average train loss: 14818.63, base loss: 19434.77
[INFO 2017-09-29 18:28:44,679 demo.py:73] epoch 123, train loss: 14622.47, average train loss: 14763.94, base loss: 19440.65
[INFO 2017-09-29 18:28:46,335 demo.py:73] epoch 124, train loss: 15075.94, average train loss: 14717.41, base loss: 19439.13
[INFO 2017-09-29 18:28:47,978 demo.py:73] epoch 125, train loss: 12451.41, average train loss: 14648.51, base loss: 19410.84
[INFO 2017-09-29 18:28:49,625 demo.py:73] epoch 126, train loss: 13144.57, average train loss: 14582.48, base loss: 19388.80
